Ukrainian,English
я,I
не,not
в,in
що,what
на,on
це,it
ти,you
что,What
так,so
у,in
і,and
и,and
з,with
а,and
ми,we
все,all
тебе,you
він,he
як,as
за,by
ви,you
с,with
до,to
мене,me
он,He
мені,to me
ні,No
але,but
мне,me
да,yes
как,As
просто,simply
меня,me
нет,NO
тут,here
для,for
його,him
п,pp
о,at
но,but
то,then
ну,Well
знаю,I know
про,about
нас,us
вас,you
вони,they
вона,she
тобі,you
там,there
якщо,if
ще,more
та,and
добре,fine
щоб,in order to
є,is
вам,you
нам,for us
хочу,I want
коли,When
же,the same
вже,already
було,It was
її,her
був,was
може,maybe
чи,or
дуже,very
від,from
чому,Why
буде,will
хто,who
давай,Come on
тому,ago
де,where
треба,need
думаю,I think
того,that
їх,their
щось,something
гаразд,OK
цього,that
зараз,now
нічого,nothing
моя,my
тільки,only
бути,to be
один,one
уже,already
й,and
можу,can
тепер,now
мій,my
ось,here
дякую,thank you
раз,time
знаєш,You know
вот,here
через,by
всі,all
бо,for
правда,truth
без,without
себе,himself
більше,more
тоді,then
час,time
день,day
ладно,okay
можна,can
була,was
боже,God
будь,be
йому,him
лише,only
ним,him
привіт,Hello
них,them
навіть,even
ніколи,never
знаешь,You know
буду,I will
би,would
зі,out
немає,no
хочеш,You want
нього,him
цей,this
чого,What
життя,life
теж,also
люди,people
твоя,your
сказав,said
ещё,Ev
людей,people
або,or
свою,your own
який,which
сюди,here
таке,Such is
даже,Even
із,from
тобою,you
були,were
два,two
краще,better
завжди,always
багато,many
сьогодні,today
точно,exactly
ласка,affection
той,that
сам,himself
мною,me
тоже,Also
має,has
прошу,Please
маю,I have
мама,mum
зробити,make
сказати,say
сказала,She said
назад,back
які,which
можеш,You can
тобою,You
трохи,slightly
потрібно,necessary
ці,these
ага,Aha
саме,exactly
хотів,Wanted
можеш,You can
під,under
три,three
можете,You can
років,years
собі,itself
скажи,Say
пане,Mr.
робити,do
знову,again
твій,thy
люблю,I love
наш,our
сегодня,Today
потім,then
ніж,than
гей,gay
дай,Give
перед,before
завтра,tomorrow
вами,you
яка,What
одного,one
ваша,your
цьому,that
ваш,your
знаєте,You know
цю,this
сказати,Say
ніхто,no one
сюда,here
нами,us
можливо,perhaps
після,after
значить,Meaning
прямо,direct
неї,her
скільки,How many
одна,one
чудово,perfectly
давайте,Let's
бачив,saw
такий,such
кого,whom
хтось,someone
сер,sir
їй,her
ця,This
мою,mine
усе,all
разом,together
їм,them
куди,where
звичайно,Of course
справді,really
поки,until
всегда,All
мої,my
гроші,money
цим,hereby
міг,could
том,volume
маєш,You have
хіба,unless
повинен,should
друг,friend
можно,can
дня,the day
досить,enough
можемо,We can
зробив,did
над,over
хоче,Wants
якби,if
могли,could
місце,place
воно,it
часу,time
робиш,You do
хлопці,Guys
вибачте,Sorry
додому,home
весь,all
руки,Hands
ясно,clear
вибач,Sorry
лікар,doctor
повинні,should
говорить,says
мого,mine
нема,No
йди,Go
думаешь,You think
немного,a little
навіщо,why
мабуть,apparently
твою,yours
зачем,Hair
чоловік,man
ходімо,Come on
сталося,It has happened
звідси,from here
занадто,too
мати,have
скажу,I will say
скоро,soon
сталося,happened
нормально,normally
здається,seems to be
пані,Mrs.
всіх,all
також,also
кілька,several
брат,brother
моє,my
подобається,Like
чорт,devil
сама,itself
думаєш,You think
потім,then
такого,Such
казав,He said
розумію,I understand
батько,father
отже,so
зробив,did
таким,like this
могла,could
тим,that
швидше,rather
жаль,pity
туди,there
речі,things
знати,know
свої,your
хочете,Want
одну,one
ім,them
думав,I thought
можем,Maybe
під,under
допомогти,help
людина,man
куди,where
яку,What
правильно,right
давно,long
зовсім,completely
при,at
всю,All
бачу,I see
видел,See
думала,I thought
така,Such
знав,He knew
йти,to go
знайти,find
дещо,something
додому,Home
нею,her
знає,knows
наша,our
далі,further
усі,All
слухай,Listen
ними,they
батько,Father
машину,car
нравится,To be liked
дійсно,really
мав,had
кто-то,one
звісно,Of course
вперед,forward
разу,once
никто,Nica
мои,My
разве,ALWAYS
сколько,Skolko
отлично,Clearly
человек,man
гадаю,I think
тот,Tot
слова,words
звідки,where
шкода,damage
справа,case
чим,What
ті,those
проти,against
похоже,Crown
мамо,Mom
піти,leave
чарлі,Charlie
свого,your own
номер,number
справи,affairs
дома,at home
пару,pair
такі,Such
знала,She knew
хотела,Hotel
одно,one
тож,So
голову,head
знать,nobility
сім,seven
нехай,let
понимаю,I do
увазі,ITS
поговорить,will talk
знаете,You know
фп,FP
син,son
место,Mesto
иди,Go
бачиш,You see
кажется,It is said
найти,Find
свій,your
тобто,that is
взагалі,in general
пішли,went
сказали,They said
ять,Yat
будешь,You will
хочет,It wants
будеш,You will
жизни,Life
деньги,Mothers
слушай,Listen
відбувається,happens
розумієш,You understand
кбй,KBY
ме,me
пішов,left
мистер,Master
наші,our
якого,whose
поговорити,speak
порядку,order
что-нибудь,something
ой,Oh
думал,thought
хоч,though
оу,OU
ваше,your
тих,Those
проблема,problem
хотіла,I wanted
роботу,work
ради,Council
ох,Oh
будемо,We will
двері,door
хлопець,boy
потрібна,needed
будем,We will
стоит,Standing
знает,I know
світ,world
чув,Heard
времени,Time
майже,almost
м,m
тату,Dad
можуть,can
именно,named
пора,time
зрозумів,understood
насправді,actually
своей,Own
бачити,see
швидко,quickly
тато,dad
совсем,Sow
твої,your
всем,all
лишь,Only
цих,these
говорил,spoke
бог,God
еянбй,Eyanbi
кажу,I say
наших,ours
простите,Pipe
схоже,It looks like
права,right
своє,your own
говорю,I say
дом,home
чувак,dude
сильно,strongly
піду,I'll go
слово,word
раніше,before
ту,Thou
будуть,will
моего,We are
потрібен,needed
пґп,PGP
алло,Hello
питання,question
між,between
прийшов,came
доброго,Good
тем,topics
жінка,woman
должно,Darling
знал,You knew
какой,What
смерть,death
дітей,children
деле,Del
добрий,good
шанс,chance
нужна,need
одне,one
десь,somewhere
колись,once
мало,small
означає,means
черт,a snore
ніби,as if
ваші,yours
твоей,yours
говорити,speak
друга,a friend
происходит,It will take place
геть,away
всього,Total
варто,worth
значить,So
яке,What
інші,others
досі,still
зв,City
раньше,Earlier
руку,hand
аби,that
туда,Tuda
твоє,your
джон,John
маєте,have
занадто,too
хай,let
действительно,Acting
дві,Two
маємо,We have
план,plan
уверен,Im
пошли,They sent
чём,What
ден,Dan
довго,long
хватит,Hvatit
каже,He says
своїх,theirs
кое-что,Koe-CHTO
нашу,ours
великий,big
нужен,Need
побачити,see
щодо,of
біса,The hell
понял,Little
ребята,Rebates
папа,pope
отсюда,Otto
несколько,not
біля,near
верно,Verno
жити,live
послухай,Listen
правду,the truth
идти,to go
хороший,good
твои,yours
негайно,immediately
ким,by whom
свои,your own
уж,Uzh
мать,Mother
пор,cf
иб,ib
говорила,She said
оно,it
дела,Del
хвилин,minutes
далеко,far
таких,Such
вашу,your
мушу,I must
свой,your own
робота,work
работу,work
хотите,Walk
нее,is not
усіх,All
будете,you will
дайте,Give
батька,Father
убить,Kills
машина,machine
важко,hard
итак,ITAK
твого,yours
тех,TECH
легко,light
самом,by itself
очі,Eyes
хоча,though
ко,ko
кожен,everyone
спасибі,Thanks
щойно,just
против,opposing
виду,a species
имя,Name
собою,by yourself
курва,whore
діти,children
цієї,this
вообще,In general
світі,the world
роботи,work
доведеться,will have
погано,badly
рада,council
понимаешь,You will go
готовий,finished
ах,Ah
перший,first
вбити,to kill
працює,working
грошей,money
знайшов,found
робить,makes
радий,glad
кому,whom
ніч,night
року,the year
говори,Talk
момент,moment
дивись,Look
серйозно,seriously
напевно,definitely
такая,Such
надеюсь,I hope
послушай,Listen
роки,years
землі,land
заради,for
стій,Stop
неё,is not
проблем,problems
честь,honor
мпх,MPH
вітаю,Congratulations
ранку,a.m.
говорит,Talking
телефон,phone
зробили,have done
вдома,home
равно,Raven
жить,Live
будинок,house
брата,brother
іди,Go
король,king
бачили,seen
круто,cool
подожди,overlook
знаємо,We know
будут,will
потрібні,are required
цій,this
нельзя,Nelya
дам,lad
смерті,death
возьми,DOES
знали,They knew
ноги,legs
старий,old
моєї,mine
убил,killed
хотя,Although
когось,someone
тихо,quietly
хоть,Although
взяти,take
побачення,date
новий,new
проблеми,problems
бувай,Goodbye
джек,Jack
місці,place
будто,Tudo
сестра,sister
моїх,mine
містер,Mr.
слід,trace
бачила,She saw
стати,become
извини,Illina
наверное,Narnoe
готова,Ready
нашого,ours
готов,Ready
видеть,Lead
якось,somehow
пойду,I will go
прекрасно,Great
джо,Joe
вся,All
отче,Father
своего,your own
посмотри,Small
рік,year
бога,God
повинна,should
всім,to all
другой,the second
мала,Small
зачекай,Wait
наче,as if
наше,our
видела,Vidala
откуда,Clear
кінець,end
чоловіка,man
знайшли,found
рядом,by a series
працювати,work
візьми,Take it
річ,thing
дитина,child
сина,Son
інших,others
нарешті,finally
зовут,The name
ночь,Night
мам,moms
двох,two
якийсь,some
смогу,Smog
здорово,Wow
надто,too
йде,goes
пойти,To eat
вижу,I get
мають,have
кажуть,They say
мир,peace
агов,hey
абсолютно,absolutely
чотири,four
звати,call
видишь,You see
сделала,She made
більш,more
прав,the right
ночі,nights
зрозуміло,of course
маленький,small
місто,city
достаточно,sufficiently
моїм,mine
йдемо,We go
лайно,shit
часто,often
дні,days
впевнений,assured
собираюсь,I am
человека,man
моєму,Mine
стільки,so much
зроблю,I will do
говорив,said
друже,friend
йду,I go
почти,to fly
ідея,idea
днів,days
дати,give
людям,People
чуєш,You hear
інакше,otherwise
минут,Minima
зможу,I can
скажеш,You will say
месте,Meste
пан,Mr.
ятаєш,You do not
вопрос,Question
могут,May
между,only
дружина,wife
світу,the world
землю,Land
говоришь,You say
извините,Izvinite
кров,blood
помощь,help
будинку,at home
вашого,yours
вірно,True
которая,KOTORYA
десять,ten
долго,Dolgo
твоего,yours
вроде,Wheat
ваших,yours
вообще-то,In general
вб,VB
детей,Detae
люба,beloved
одним,one
смотри,Smoke
вещи,hey
яким,What
іншого,another
своїм,to your own
ятаю,I pine
важно,Important
самого,himself
розумієте,You see
гарно,good
произошло,It was missed
тримай,Hold
серце,heart
забудь,Forget
более,pain
хочуть,They want
рад,Rad
собой,Cathed
яких,whose
нікого,no one
справу,the case
имею,I am
цікаво,interesting
вчора,Yesterday
гарна,beautiful
став,pond
самое,Self
житті,life
самі,themselves
любить,Likes
нашли,They were
говорили,They talked
спати,sleep
знаем,We know
друзі,Friends
уверена,Called
рано,early
парня,The steam room
поглянь,Look
повернутися,return
увидеть,Import
мило,soap
дав,gave
отца,Father
прийшли,came
вернуться,They will return
такие,Takye
інше,Other
вина,fault
х,X
деякі,some
своих,their own
помер,died
інший,another
зробила,made
перевод,transfusion
ого,Oho
чёрт,Chort
само,itself
достатньо,enough
робив,did
смерти,death
работа,work
перестань,Stop it
часом,sometimes
приємно,pleasantly
кем,Kem
доки,until
велика,Great
дівчина,girl
сподіваюся,I hope
вниз,down
зможеш,You can
спочатку,first
плохо,Swing
дім,House
підемо,Let's go
вчера,Out
чесно,fair
теде,Ted
стало,became
наши,Those
дивно,amazingly
місця,places
никаких,Nikki
причина,reason
стать,sex
пізніше,later
стала,became
хлопця,guy
спокійно,quietly
бхфь,BHF
вон,Von
сон,sleep
води,water
адже,After all
отримав,got
годі,No
містере,Mr.
другом,a friend
виглядає,looks
насчет,Spring
нашей,ours
вогонь,fire
близько,close
право,right
алан,Alan
короля,King
га,Ha
секунду,second
отримати,get
пєп,The little one
мое,my
одному,one
которую,I do
хм,hmm
прийти,to come
гарний,good
живе,Live
вірю,I believe
дальше,Further
моим,Moem
голос,voice
роблю,I do
взять,take
говорите,You say
какая,Kakaya
іноді,sometimes
робите,Making
вода,water
крім,except
весело,fun
последний,Lastly
міста,cities
мисс,Mes
трапилося,happened
школу,school
шлях,way
останній,last
подумав,I thought
жена,The wife
сердце,Heart
денег,Deneg
обов,Ob
власне,Actually
лиш,Only
невже,Is it
делает,Delaet
сможешь,Smoke
серьезно,Service
повернувся,Returned
глаза,Eye
кожного,Each
здоров,health
голова,head
мали,had
дети,where are you
народ,people
прийде,will come
опять,Real
бачите,You see
таки,still
помнишь,You will remember
ночью,Night
оце,This is
чекай,Wait
страшно,terrible
дверь,Door
пойдем,Let's go
ха,ha
узнать,Learn
врн,VRN
обличчя,face
важливо,importantly
аж,until
чувствую,I am sensitive
вбив,killed
моих,My
дней,the days
иногда,Innogda
дороги,roads
боюся,I'm afraid
вставай,Get up
руках,hands
хотіли,Wanted
боюсь,I'm afraid
жінки,Women
года,HOUSE
воду,water
вашей,yours
кровь,Blood
дому,home
обережно,carefully
забув,Forgot
їсти,eat
нікому,no one
ваши,your
очевидно,obviously
кто-нибудь,one
случае,Like
машини,cars
тиждень,week
гаррі,Harry
работает,robota
увидимся,Let's go
забирай,Take away
готові,ready
пробач,Excuse
якісь,Some
поліція,police
фб,FB
фото,Photo
хочемо,We want
скажіть,Say
пусть,Letter
мертвий,dead
блядь,The tin
работать,work
уйти,shoot through
припини,stop
ух,Uh
рацію,Right
одной,One
думаєте,You think
казала,She said
вийде,It will turn out
взяв,took
кроме,Krome
вечір,evening
пес,dog
сразу,at once
девушка,The girl
переводчики,Handrails
відчуваю,I feel
рассказать,Swash
сначала,She was guaranteed
обо,tion
маму,Mom
дитину,baby
